Question	Answer
Suffice worker ants have wings?	grannie
What are the deuce ace segments of an ant?	The school principal, mesosoma and metasoma are the three distinct body segments.
What are the three segments of an ant?	grandma
What are the pismire colonies that lack queens called?	Colonies that deficiency queens are called gamergate colonies.
What are the ant colonies that lack faggot called?	granny
Where are bullet ants locate?	Bullet ants are located in Central and South America.
Where are bullet ants locate?	naan
Do ants belong to the same order as bees?	Yes, ants belong to the like order as bees.
Do pismire belong to the same order as bees?	nan river
What is the most common color of ants?	Most emmet are red or black.
What is the most common colouring material of ants?	nan river
Act all ants build nests?	No, not all ants build nests.
Do all pismire build nests?	nanna
Ultraviolet vision was first discovered in ants by Sir who in 1881?	John Lubbok
Do ants thrive in most ecosystems?	Yes.
Are several species of ants capable to use the Earths magnetic field?	yes
Are termites actually more closely related to cockroaches as well as mantid?	Yes, termites are actually more closely related to cockroaches as well as mantids.
Do some caterpillars produce vibrations as easily as sounds?	yes
Did pismire evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?	yes
Is the emmet a marsupial?	no
Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?	Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.
Is Antwerp a urban center?	Yes
Is Antwerp a city?	naan
Is Antwerp a municipality?	Yes
Is Antwerp a municipality?	nan river
Is Antwerp in Kingdom of belgium?	Yes
Is Antwerp in Belgium?	nan river
What be Antwerp?	Antwerp be a city and municipality in Belgium.
What is Anvers?	gran
What is the universe of the city of Antwerp?	Antwerp's population comprise 472,071.
What is the population of the city of Antwerp?	nan river
Where is the city of Antwerp?	Antwerp is in Belgique
Where is the city of Antwerp?	granny
Wherefore is Antwerp important to fashion?	Yes
Wherefore is Antwerp important to fashion?	granny
Antwerp constitute to the east of what river?	Antwerp is to the east of the Scheldt river river
Antwerpen is to the east of what river?	grandma
How many municipalities does Antwerp have?	None, Antwerp be a municipality.
How many municipalities does Antwerp possess?	nanna
Is Arabic a Central Semite language?	Yes
Is Arabic language a Central Semitic language?	grandma
Washington Arabic a major vehicle of culture in Europe?	Yes
Was Arabic a major vehicle of polish in Europe?	grandmother
Is Arabic language classified alongside Semitic languages?	Yes
Is Arabic classified alongside Semite languages?	granny
How many people speak the Arabic language language?	280 million people.
How many people speak the Arabic language?	grannie
When was Arabic language calligraphy invented?	Many styles follow developed after 786.
When was Arabic calligraphy invented?	nanna
Where is Arabic speak?	The Middle Orient and North Africa
Where is Arabic language spoken?	naan
Why be Arabic related to Islam?	Arabic is the liturgical language of Islam
Why is Arabic related to Islam?	grandmother
Why make out Arabic heavily influence European languages?	Arabic was a major vehicle of culture in Ec, and the Arab and European civilizations are geographically close.
Why does Arabic heavily influence European language?	nanna
"How do you say "" black market "" in Arabic?"	grannie
Is Arabic the largest member of the Semitic language family?	yes
Is Arabic the large member of the Semitic language family?	yes
Does Modern Standard Arabic continue to evolve like other spoken communication?	yes
Does Modern Monetary standard Arabic continue to evolve like other languages?	yes
Is Hassaniya Arabic spoken in Mauritania?	yes
Is Hassaniya Arabic spoken in Mauritanie?	Yes
What is the only variety of modern Arabic that have acquired official language status?	maltese
What is the only form of modern Arabic that has acquired official language status?	Maltese
Egyptian Arabic is spoken by how many in Egypt?	76 one thousand thousand
Egyptian Arabic is spoken by how many in Arab republic of egypt?	76 trillion
Where are the Western Arabic language numerals used?	Second earl of guilford Africa
Where are the Western Arabic numerals used?	present-day North Africa
The most active Academies of Arabic Spoken language are found where?	damascus and al qahira
Hassan Massoudy is a master of what genre?	Hassan Massoudy
Hassan Massoudy is a master key of what genre?	Arabic penmanship
Is Irving berlin the capital city of Germany?	Berlin is the capital metropolis of Germany.
Is Berlin the capital letter city of Germany?	yes
Is Berlin the largest urban center in Germany?	German capital is Germany's largest city.
Is Berlin the largest urban center in Germany?	yes
Is Schloss Charlottenburg the largest existing palace in Berlin?	Schloss Charlottenburg make up the largest existing palace in Berlin.
Is Schloss Charlottenburg the largest existing palace in Berlin?	yes
Which building is the site of the German parliament?	The Reichstag building is the site of the German parliament.
Which building is the site of the German parliament?	The Reichstag building
Which two sports events make the Olympiastadion host?	The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final.
Which two sports events did the Olympiastadion host?	the 1936 Summer Olympics and the 2006 FIFA World Cup final
Where be the Berliner Dom located?	The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.
Where is the Berliner Dom located?	on the Spree Island
Which Berlin building did architect Norman Foster remodel in the 1990s?	The Reichstag building was remodeled by architect Norman Foster in the nineties.
Which Berlin building did architect Jessye norman Foster remodel in the 1990s?	Reichstag building
Why is Vattenfall shifting towards reliance on cleaner, renewable energy source?	Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable muscularity sources.
Why is Vattenfall shifting towards reliance on cleansing agent, renewable energy sources?	Because burning lignite produce harmful emissions
What are the names of the two zoos in Berlin?	The 2 zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.
What are the names of the two zoo in Berlin?	Zoologischer Garten Israel baline and Tierpark Friedrichsfelde
Is Berlin the headquarters of Impost?	Yes, Berlin is the home office of Springer.
Is Berlin the headquarters of Springing cow?	nan river
Does the Gendarmenmarkt border the French Duomo?	Yes, the Gendarmenmarkt delimitation the French Cathedral.
Does the Gendarmenmarkt border the French Cathedral?	naan
Is the Nauen plain north of Berlin?	No, the Nauen plain stretches to the west of Berlin.
Is the Nauen plain north of Berlin?	granny
Where is the bust of Queer Nefertiti?	The bust of Queen Nefertiti is in the Altes Museum.
Where be the bust of Queen Nefertiti?	granny
Where does the German President live?	The German President lives west of the center, Schloss Bellevue.
Where manage the German President live?	grandma
When answer Berlin give up its status as a free Hanseatic city?	In 1451 Berlin gave upward its status as a free Hanseatic city.
When did Berlin give upwards its status as a free Hanseatic city?	granny
Which be the busiest airport in Berlin?	Tegel International Drome is the busiest airport in Berlin.
Which is the busiest airport in Berlin?	nan river
How many occupation zone was Germany divided into after the war?	Germany was divided into four occupation zones after the war.
How many occupation zones was Germany divide into after the war?	nanna
Where was Popkomm held before moving to Berlin?	Popkomm was held in Cologne before moving to Berlin.
Where embody Popkomm held before moving to Berlin?	granny
Who was Blaise Pa ' s father?	His father of the church, Étienne Pascal (1588–1651), who also had an interest in science and mathematics, was a local judge
Who was Blaise Pascal's father?	Étienne Pa.
Was Pascal a French mathematician?	yes
Evergreen state Pascal a French mathematician?	Yes.
Did Pascal have poor health throughout his life?	yes
Did Pascal have inadequate health throughout his life?	Yes.
How old was Pascal when he lost his mother?	at the age of 3
How old was Pascal when he lost his mother?	threesome.
Who was Pascal's vernal sister?	Jacqueline
Who be Pascal's younger sister?	Jacqueline.
What led Pascal to his religious conversion?	Two basic influences led him to his conversion: sickness and Jansenism
What led Pascal to his spiritual conversion?	sickness and Jansenism
How old was Pascal when he died?	thirty nine
How one time was Pascal when he died?	1662 - 08 - nineteen.
Did Pascal write astir cycloid before 1658?	no
Is there a programming speech communication called Pascal?	yes
Is there a programming language called Pascal?	Yes.
Crew of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?	Capital of france
Wasn't Blaise Pascal a work of Desargues on conic sections?	Yes, it be
Who fail the next morning?	Pa.
When did his father die?	1651
When do his father die?	His father of the church died in 1651.
Was he a child prodigy who was train by his father, a civil servant?	yes
Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and elucidate the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?	Yes
Did Pascal also write in defense of the scientific method?	Yes
Do butterflies draw sounds?	Some butterflies make sounds.
Do butterfly stroke make sounds?	granny
Execute butterflies have two eyes?	Yes, butterflies have 2 eyes.
Do butterflies have 2 eyes?	gran
Does a black moth mean that someone receive died?	In the Philippines a black butterfly or moth mean that someone has died.
Does a black moth mean that someone has died?	naan
What is the outer layer of the epidermis made of?	The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.
What is the outer layer of the cuticle made of?	granny
Where was there a vast drove of butterflies?	In Kyoto there was a vast swarm of butterflies.
Where was there a vast cloud of butterflies?	naan
What butterfly is migratory?	The Monarch butterfly is migratory.
What butterfly is migratory?	nan river
Do butterflies carry more pollen than Hymenoptera?	No, butterflies carry to a lesser extent pollen than Hymenoptera.
Do butterflies carry more pollen than Hymenopteran?	naan
What allows the butterfly to evade predators?	A butterfly's hind wings allow the butterfly to evade predators.
What allows the butterfly to evade predators?	granny
What happens if a wing is removed?	If a ring is removed the other three will grow to a larger size.
What happens if a wing is take out?	grannie
nanna	naan
nan river	grannie
naan	nanna
grannie	grannie
nan river	grandma
granny	grandma
naan	granny
granny	granny
grandma	gran
Was Charles ii - Augustin de Coulomb a Spanish Biologist?	No.
Was Charles - Augustin de Coulomb a Spanish Biologist?	No, he was a French physicist.
Was the SI unit of charge named after Charles-Augustin de Coulomb?	Yes.
Was the SI unit of charge distinguish after Charles-Augustin de Coulomb?	Yes, the SI unit of measurement of charge, the coulomb, was named after him.
Was Charles-Augustin de Coulomb ever employed at La Rochelle?	Yes.
Was Charles-Augustin de Coulomb ever engage at La Rochelle?	Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle.
What is Charles-Augustin de Coulomb best known for?	He personify best known for developing Coulomb's law.
What be Charles-Augustin de Coulomb best known for?	He is best known for developing Coulomb's law.
Whose ideas inspired Charles-Augustin de Ampere second ' s experiments on the resistance of masonries?	Pieter van Musschenbroek.
Whose ideas inspired Charles - Augustin de Coulomb's experiments on the resistance of masonries?	He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.
When did Charles-Augustin de Coulomb join his father's family in Montpeillier?	From 1757 to 1759 he joined his father's family in Montpellier.
Did Charles-Augustin de Coulomb come from a poor family?	No.
Did Charles-Augustin de Coulomb come from a poor family?	No, his mother came from a wealthy family in the wool trade.
What is Coulomb ' south law?	The definition of the electrostatic force of attraction and repulsion.
What be Coulomb's law?	The definition of the electrostatic force of attraction and repulsion.
Where is Coll�ge des Quatre-Nations settle?	In Montpellier.
Where is Coll�ge des Quatre-Nations settle?	In Paris.
What happened in 1785?	Coulomb presented his 3 reports on Electricity and Magnetism
What happened in 1757 to 1759?	Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.
Regarding this topic, what coif the Revolution do?	The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.
Who watch to pursue mathematics?	Charles - Augustin de Coulomb
When do Coulomb return to Paris?	In 1759.
Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?	yes
Did the family move to French capital as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?	Yes
Was Coulomb born in Angoulme France to a well - to - perform family?	Coulomb was born in Angoulême, France, to a well-to-do family
Is he best known for develop Coulomb's law, the definition of the electrostatic force of attraction and repulsion?	Yes
The SI unit of charge, the coulomb, was named after him?	Yes
Did Coulomb die in Angoulême, France, to a well-to-do family?	No
Are all spoken varieties of Chinese tonal and analytical?	yes
Are all spoken smorgasbord of Chinese tonal and analytical?	yes
Is fifty percent or more of Korean vocabulary of Chinese stemma?	Yes
Is fifty percent or more of Korean vocabulary of Chinese origin?	yes
"Does ""ketchup"" come from the Minnan orthoepy of &#39853;&#27713; (koe-tsiap)?"	Yes
"Does ""ketchup"" occur from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?"	yes
What is the most common romanization standard for Standard Mandarin today?	Hanyu Pinyin
What is the most common romanization standard for Standard Mandarin today?	Hanyu Pinyin
"What is the official standard language used by the People's Republic of Republic of china, the Republic of Republic of china, and Singapore (where it is called ""Huayu"")?"	"Putonghua / Guoyu, oftentimes called ""Mandarin"""
"What is the official standard language used by the People's Republic of Taiwan, the Republic of Taiwan, and Singapore (where it is called ""Huayu"")?"	Standard Mandarin orange tree
How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?	85, 568 head entries
How many head entries for character definitions does the Zhonghua Zihai & # 20013; & # 21326; & # 23383; & # 28023; (1994) contain?	54, 678
What does the PRC government classify as literacy amongst workers?	knowledge of 2, 000 characters
What does the PRC government classify as literacy amongst workers?	a knowledge of 2000 characters
How be South China linguistically different from North China?	South Mainland china displays more linguistic diversity
&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loanword words from which language?	Nipponese
&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; � fix cuisine� are loan words from which language?	Taiwanese
What is the standardized form of spoken chinese?	The standardized form of spoken Chinese cost Standard Mandarin.
What is the standardize form of spoken chinese?	The standardize from of spoken Chinese is Standard Mandarin.
Is diglossia a common feature in mainland China and Taiwan?	Yes, diglossia is a common feature film in mainland China and Taiwan.
Is diglossia a common feature in mainland China and Taiwan?	Yes, diglossia is a uncouth feature in mainland China and Taiwan.
Do linguists a great deal view Chinese as a language family?	Yes, linguists often view Chinese as a language family.
Do linguists a great deal view Chinese as a language family?	Yes, linguists oft view Chinese as a language family.
When did classic Chinese literature begin?	Classical Chinese literature began in the Leaping and Autumn period.
When did classic Chinese literature begin?	Classical Chinese literature began in the 14th to 11th centuires BCE.
How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?	The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.
How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?	"The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or ""regional tongues."""
When be Middle Chinese used?	Center Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties.
When was Middle Taiwanese used?	Middle Chinese comprise the language used in the 6th through 1-th centuries CE.
How is the pronunciation of foreign logos determined?	The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.
How is the pronunciation of foreign speech determined?	Foreign words are transliterated into close-match existing Chinese morphemes.
What is the total number of Chinese word?	The Hanyu Da Zidian include 54,678 head entries for characters.
What language was used in the Zhou and Southern Dynasties?	Old Chinese was the language common during the early and middle Zhou Dynasty.
Is a cougar also known as a mountain king of beasts?	A panther is also known as a mountain lion.
Is a cougar also known as a mountain leo?	yes
Ar cougars larger than jaguars?	Cougars are not larger than jaguars.
Are cougars larger than jaguars?	no
"Does the World Conservation Union consider the cougar a ""least concern"" species?"	"The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species."
"Does the World Conservation Union consider the cougar a ""least concern"" species?"	yes
What are some of the cougar's primary food seed?	The cougar's primary food sources include ungulates such as deer, elk, and rocky mountain bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.
What are some of the cougar's primary food sources?	ungulates such as deer, red deer, and bighorn sheep, as well as domestic cattle, horses, and sheep
How long be cougar adult males (from nose to tail)?	The length of adult males is around 2.4 meters ( eighter from decatur ft) long nose to tail.
How long are cougar adult males ( from nose to tail)?	2.4 meter
How long cost an adult cougar's paw print?	An adult cougar's paw print is approximately 10 cm ( iv inches) long.
How long be an adult cougar's paw print?	4 inch
What are the three heaviest cats in the world?	The three heaviest cats in the world be the tiger, lion and jaguar.
What are the three heaviest cats in the human beings?	tiger, lion, and panthera onca
On average, are cougar males heavier than females?	On average, cougar males are heavier than females.
On average, be cougar males heavier than females?	yes
What are the three cat species that are native to Canada?	The three cat species that are native to Canada are the cougar, the bobcat and the Canadian lynx.
What are the three cat species that are native to Canada?	panther, bobcat, Canadian lynx
Is one of the parts of a cymbal called a disc?	no
Is one of the share of a cymbal called a disc?	grandmother
Are ride cymbals very vulgar?	yes
Ar ride cymbals very common?	grannie
Does Fender piss cymbals?	no
Does Buffer make cymbals?	naan
What component part of the cymbal is the bell?	The center of a Cymbal
What part of the cymbal is the bell?	grandma
What's the timber of ancient cimbals like? disfluent	same that of small hand-bells or of the notes of the keyed harmonica
What ' s the timber of ancient cimbals like? disfluent	granny
What does it audio like to play cymbals with a cello bow?	squealing machine brakes
What does it sound comparable to play cymbals with a cello bow?	granny
What be cymbals made of?	establishment
What are cymbals made of?	grandmother
How many cymbal typically go in a drum kit?	at least 3
How many cymbals typically go in a drum kit?	nanna
What kinds of musical groups use cymbal?	Cymbals are use in modern orchestras and many military, marching, concert and other bands
What kinds of melodious groups use cymbals?	nanna
gran	grandmother
grandma	grandma
granny	nanna
nanna	naan
grandma	nan river
granny	gran
grandmother	granny
granny	granny
naan	nan river
Are dragonfly capable of walking?	naan
Are dragonflies capable of walking?	naan
Do dragonfly nymphs ever hunt on land?	naan
Do dragonfly nymphs ever hunting on land?	granny
Behave dragonflies spend most of their lives in their adult form?	gran
Do dragonflies spend most of their lives in their adult var.?	naan
What are dragonfly larvae known as?	naan
What are snake doctor larvae known as?	grannie
On what continent have dragonflies often been seen as sinister?	grandma
On what continent have dragonflies often been seen as sinister?	gran
In how many directions can the adult dragonfly propel itself?	gran
In how many directions can the adult dragonfly propel itself?	grandmother
What is the hobby of seeking out mosquito hawk and damselflies called?	nanna
What is the hobby of seeking out dragonflies and damselflies called?	grandmother
In what country are dragonflies used as a food informant?	grandmother
In what country are dragonflies used as a food source?	gran
Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?	grandma
Which culture has a legend that title that trolls sent dragonflies to poke out their enemies' eyes?	grandma
Is the devil's darning needle associated with late summer as well as early autumn?	Yes
Does Exposure to air cause the larva to begin breathing?	Yes (capitalization).
Is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?	Yes.
Is the drum a member of the percussion group?	yes
Is the membranophone a member of the percussion group?	yes
Does each character of drum head serve its own musical purpose?	yes
Does each type of drum head serve its own melodious purpose?	yes
Is the Aburukuwa a type of barrel?	yes
Is the Aburukuwa a type of drum?	yes
How long has the basic design of the drum remained unchanged?	stay on virtually unchanged for thousands of years
How long has the basic design of the drum remained unchanged?	thousands of age
What is the second biggest factor affecting the sound produced by a drum?	tenseness
What is the second biggest factor affecting the sound give rise by a drum?	the tension at which the drum head is held against the shell of the drum.
By what name are drums classified as under the percussion section group?	drum
By what name are drums classified as under the percussion radical?	membrane forming
How coif rock and roll drummers like their drumheads?	rock and roll drummer may prefer drums that sound loud and deep
How do careen and roll drummers like their drumheads?	drums that strait loud and deep
Whare is the name for drums that have a set of wires held across some of all of the tympan heads?	snare
Had the drums been used in Sri Lanka since Before Christ?	yes
Had the drums been practice in Sri Lanka since Before Christ?	yes
Is the drum a member of the pleximetry group?	yes
Is the drum a member of the percussion group?	yes
Are drums often used in music therapy?	yes
Are drums often used in medicine therapy?	yes
Do tympan consist of at least eight membranes?	no
Do drums consist of at least eight membranes?	no
What has the most effect on how a drum sounds?	the head
What has the most effect on how a drum sounds?	the drumhead
Who constructed a kit using diatonic and chromatically tuned drums?	Terry Bozzio
Who construct a kit using diatonic and chromatically tuned drums?	Dame ellen terry Bozzio
Drums are usually played by what?	the hands, or by one or two stick
Drums are usually played by what?	the men
Has the design of drums changed late?	no
Has the design of drum changed recently?	no
Can some cylindrical shell drums birth no drum heads?	no
Can some cylindrical shell tympan have no drum heads?	no
Does every drumhead make the like sound?	no
Does every drumhead make the like sound?	no
Aren ' t drums often used in music therapy?	Yes, drums are often used in music therapy.
Aren ' t drums usually played by the hands?	Yes.
Are drums unremarkably played by the hands?	Yes
Do many such drums have six to decade tension rods?	Yes.
Do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a carapace and struck, either directly with parts of a player's body, or with some sort of implement such as a drumstick, to produce sound?	yes
Have other techniques been used to cause drums to make audio, such as the ``Thumb roll''?	Yes
Is the electric eel a lawful eel?	No
Is the galvanizing eel a true eel?	No, the electric eel is not a honest eel.
Are most eels predators?	Yes
Ar most eels predators?	Yes, most eels make up predators.
Is eel blood toxic to humans?	Yes
Is eel blood toxic to humans?	Yes, eel blood line is toxic to humans.
How many species of true eels comprise there?	approximately 800 species
How many specie of true eels are there?	At that place are approximately 800 species of true eels.
Where is smoked eel considered a delicacy?	Northern Germany, The Netherlands, Kingdom of denmark, Sweden
Where is smoke eel considered a delicacy?	Smoked eel is considered a delicacy in northern Germany, The Netherlands, Denmark and Sweden.
How do eels begin life?	As insipid and transparent larvae, called leptocephali
How cause eels begin life?	Eels begin life as flat and transparent larvae, call leptocephali.
What types of fins coiffe eels have?	Dorsal, anal, caudal, tail fins
What types of fins do eels have?	Eels have dorsal and anal fins fused with a rear end fin. Some also have pectoral fins.
What do leptocephali eat?	Marine blow
What do leptocephalus eat?	Leptocephali eat small particles call marine snow.
Do all eels live in fresh water?	No
Do all eel live in fresh water?	No, not all eels alive in fresh water.
Is Finnish an official language of the European Union?	Yes
Is Finnish an official language of the European Union?	Yes, Finnish is an official language of the European Union.
Ar the dialects of Finnish divided into two groups?	Yes
Are the dialects of Finnish divided into two groups?	Yes, the dialects of Finnish are divided into two groups.
Is Finnish threaten by English?	No
Is Finnish threatened by English?	No, Finnish is not threatened by English language.
When did Proto-Uralic language arrive in Finland?	Around 1900 BCE
When did Proto-Uralic oral communication arrive in Finland?	Proto - Uralic language arrived in Finland around 1900 BCE.
What are characteristic features of Finnish?	Vowel harmony and an agglutinative morphology
What are characteristic features of Finnish?	Characteristic features of Finnish are vowel harmony and an agglutinative morphology.
Where is the Kven language spoken?	Norway
Where is the Kven terminology spoken?	The Kven spoken communication is spoken in Northern Norway.
For how long has the classification of dialects spoken outside of Finland been a controversial issue?	Since Suomi ' s independence in 1917
